,titles,links
0,웹사이트 운영하려면? 도메인과 호스팅 필수!,https://library.gabia.com/contents/domain/13153/
1,최대 1억 원 혜택! AWS Lift로 클라우드 저렴하게 쓰세요.,https://library.gabia.com/contents/infrahosting/13045/
2,하이브리드 클라우드란? 정의와 특징 톺아보기,https://library.gabia.com/contents/infrahosting/13024/
3,세금계산서 역발행 쉽게하는 방법,https://library.gabia.com/contents/groupware/13006/
4,"SSL 보안서버 인증서, 무료와 유료 상품의 차이",https://library.gabia.com/contents/12955/
5,호스팅 이해하기_호스팅 정의와 종류,https://library.gabia.com/contents/12948/
6,"‘경비지출 내역 정리=야근’ 공식을 부수는 간단한 방법, 하이웍스 경비지출관리",https://library.gabia.com/contents/groupware/12928/
7,가비아 기술 지원으로 인프라 관리 인력을 최소화했습니다.,https://library.gabia.com/contents/12912/
8,보안 서비스까지 통합적으로 지원받아 빠른 대응이 가능합니다.,https://library.gabia.com/contents/12900/
9,스타트업을 위한 기술 지원과 서비스! AWS Activate 프로그램 ②,https://library.gabia.com/contents/12883/
10,하이웍스 드라이브 기능으로 자료 유실 걱정은 이제 그만!,https://library.gabia.com/contents/groupware/12849/
11,스타트업이라면 필수 체크! AWS Activate 프로그램 ①,https://library.gabia.com/contents/12827/
12,2차 연차사용촉진 아직도 안하셨다고요?,https://library.gabia.com/contents/groupware/12792/
13,인하대병원 | 보안은 물론 속도까지 빠른 공공하이웍스,https://library.gabia.com/contents/groupware/12749/
14,"10/2 임시공휴일 지정, 인사담당자가 미리 해야할 일",https://library.gabia.com/contents/groupware/12731/
15,"전자결재란? - 전자결재의 정의, 필요성, 하이웍스 전자결재 장점",https://library.gabia.com/contents/groupware/12700/
16,동행재활병원｜ 출퇴근 시간이 달라도 근무 관리가 간편해요,https://library.gabia.com/contents/groupware/12671/
17,미스터피자 | 무제한 용량 메일로 업무 환경이 편해졌어요,https://library.gabia.com/contents/groupware/12621/
18,"그룹웨어 사용할 때, 용량이 부족하다면?",https://library.gabia.com/contents/groupware/12615/
19,하이웍스 VS 다우오피스 그룹웨어 비교 3편,https://library.gabia.com/contents/groupware/12593/
20,하이웍스 VS 다우오피스 그룹웨어 비교 2편,https://library.gabia.com/contents/groupware/12575/
21,하이웍스 VS 다우오피스 그룹웨어 비교 1편,https://library.gabia.com/contents/groupware/12543/
22,미부테크(주) | 누구나 쉽게 시작할 수 있어요,https://library.gabia.com/contents/groupware/12514/
23,무영씨엠건축사사무소 | 소통이 자유로워졌어요,https://library.gabia.com/contents/groupware/12489/
24,서울서부근로자건강센터 | 근무관리가 쉬워졌어요,https://library.gabia.com/contents/groupware/12447/
25,"도메인으로 마케팅 효과 누리는 법, New gTLD 등록하기!",https://library.gabia.com/contents/domain/12430/
26,전자세금계산서 가산세와 간편한 발급 방법 꿀팁,https://library.gabia.com/contents/groupware/12403/
27,AWS 보안 가이드 ⑥ 누군가 클라우드 계정에 무단으로 접속한 거 같다면?!,https://library.gabia.com/contents/12385/
28,"전자세금계산서 의무발행 대상자, 발급기한 총정리",https://library.gabia.com/contents/groupware/12304/
29,"AWS 보안 가이드 ⑤ AWS 보안 필수 요소 로그, ‘여기’서 설정하세요!",https://library.gabia.com/contents/12283/
30,"당신의 서버, DDoS 공격으로부터 안녕하신가요?",https://library.gabia.com/contents/infrahosting/12266/
31,"원격근무하는 직원들 의심하는 나, 비정상인가요? DaaS ①",https://library.gabia.com/contents/infrahosting/12240/
32,AWS 보안 가이드 ④ IAM 로그인… 반드시 ‘이것’ 해야 한다?,https://library.gabia.com/contents/12220/
33,"재해 복구(DR), 기업을 지키는 가장 확실한 방법",https://library.gabia.com/contents/infrahosting/12209/
34,AWS 보안 가이드 ③ AWS 요금 폭탄을 피하는 법!,https://library.gabia.com/contents/12168/
35,"매달 돌아오는 급여명세서 교부, 이번 달은 쉽게 하고 싶다면?",https://library.gabia.com/contents/groupware/12125/
36,클라우드 네이티브 정의부터 사례까지.zip,https://library.gabia.com/contents/infrahosting/12091/
37,"AWS 보안 가이드 ② 지금 사용하는 비밀번호, 얼마나 안전할까?",https://library.gabia.com/contents/12067/
38,"가비아, 국내 최초 공공 전용 DaaS CSAP 1호 인증 획득!🥇",https://library.gabia.com/contents/infrahosting/12046/
39,AWS 보안 가이드 ① AWS 계정이 해킹됐는데 AWS 책임이 아니라고요?,https://library.gabia.com/contents/12024/
40,데이터 백업으로 24시간 물류 IT 서비스를 운영합니다,https://library.gabia.com/contents/11971/
41,"AWS 마이그레이션, 쇼핑몰 속도와 안정성 모두 잡았습니다",https://library.gabia.com/contents/11952/
42,SSL 인증서 왜 필요할까?,https://library.gabia.com/contents/11920/
43,협업툴에서 빠질 수 없는 파일 공유 기능,https://library.gabia.com/contents/groupware/11906/
44,클라우드 서버 요금 폭탄? 예방 방법 알아보기,https://library.gabia.com/contents/infrahosting/11859/
45,보안 구축이 된 사이트인지 확인하는 방법!,https://library.gabia.com/contents/11850/
46,"대이직 시대, 메일 아카이빙으로 업무 공백 대비하기",https://library.gabia.com/contents/groupware/11828/
47,"협업툴, 모두의 스케줄을 파악하는 진짜 협업 방법",https://library.gabia.com/contents/groupware/11814/
48,"돌아온 사무실, 그룹웨어로 회의실 잡기",https://library.gabia.com/contents/groupware/11792/
49,"전자결재, 문서철 작업에서 벗어나는 방법",https://library.gabia.com/contents/groupware/11774/
50,핵심산업 클라우드 플래그십 프로젝트 핵심정리,https://library.gabia.com/contents/infrahosting/11729/
51,"전자결재, 페이퍼리스 2.0 시대로 향하는 방법",https://library.gabia.com/contents/groupware/11713/
52,"기업메신저, 채팅과 쪽지도 기업의 자산?!",https://library.gabia.com/contents/groupware/11696/
53,"기업메신저, 업무 스타일에 딱 맞게 설정",https://library.gabia.com/contents/groupware/11687/
54,기업메신저로 조직의 업무 스트레스 줄이는 방법,https://library.gabia.com/contents/groupware/11645/
55,클라우드 도입 시 MSP 선정 기준 3가지,https://library.gabia.com/contents/infrahosting/11598/
56,"클라우드, 손해 안 보고 제대로 쓰려면? ③ - 클라우드 구성 방식",https://library.gabia.com/contents/infrahosting/11540/
57,전문 비즈니스 컨설팅이 0원? - 클라우드 컨설팅 지원 사업,https://library.gabia.com/contents/infrahosting/11505/
58,그룹웨어 전자결재로 ESG 경영이 가능하다?!,https://library.gabia.com/contents/groupware/11520/
59,"공공 클라우드 필수 관문, CSAP SaaS 보안 인증",https://library.gabia.com/contents/infrahosting/11486/
60,"클라우드, 손해 안 보고 제대로 쓰려면? ② - 고가용성 기능들",https://library.gabia.com/contents/infrahosting/11395/
61,기업메일 관리로 효율성과 보안성 둘 다 잡기,https://library.gabia.com/contents/groupware/11363/
62,MSP란? 클라우드 도입 전 반드시 알아야 할 사실,https://library.gabia.com/contents/infrahosting/11317/
63,"클라우드, 손해 안 보고 제대로 쓰려면? - 고가용성 개념과 중요성",https://library.gabia.com/contents/infrahosting/11277/
64,"기업 메신저가 주는 재택근무 꿀맛, 보안에선 쓴맛?!",https://library.gabia.com/contents/groupware/11249/
65,1억 원의 주인공을 찾는다고? - KDB 스타트업 프로그램,https://library.gabia.com/contents/infrahosting/11209/
66,협업툴에서 화상회의는 이제 필수?,https://library.gabia.com/contents/groupware/11188/
67,그룹웨어도 클라우드가 대세?!,https://library.gabia.com/contents/groupware/11143/
68,"안에서 새는 기업메일 정보, 사전차단 방법",https://library.gabia.com/contents/groupware/11086/
69,데이터 구매비 80%를 대신 내준다? - 데이터바우처 지원 사업,https://library.gabia.com/contents/infrahosting/10971/
70,"기업메일, 신뢰가 없을수록 안전하다?",https://library.gabia.com/contents/groupware/10924/
71,'다중 인증(MFA)'이란? 비밀번호 믿지 마세요!,https://library.gabia.com/contents/infrahosting/10898/
72,‘한국의 실수’라 불리는 지원 사업 - 팁스(TIPS) 프로그램,https://library.gabia.com/contents/infrahosting/10593/
73,"전자세금계산서 의무 발급 대상자, 2023년에 또 확대된다?",https://library.gabia.com/contents/groupware/10762/
74,세금계산서 수정 발급 기한이 늘어났다고?,https://library.gabia.com/contents/groupware/10619/
75,"고난의 7월 연차사용촉진, 간단하게 끝내기",https://library.gabia.com/contents/groupware/10598/
76,“100만 원 드립니다” 전자세금계산서 세액 공제 알아보기,https://library.gabia.com/contents/groupware/10503/
77,"클라우드 컴퓨팅의 종류, DaaS란?",https://library.gabia.com/contents/infrahosting/10517/
78,"인터넷 익스플로러 없이 일할 준비, 되셨나요?",https://library.gabia.com/contents/groupware/10459/
79,전자세금계산서 의무 발급 대상자가 늘어났다고?,https://library.gabia.com/contents/groupware/10440/
80,전자세금계산서의 작성일자는 ‘작성하는 날짜’가 아니다?,https://library.gabia.com/contents/groupware/10374/
81,"가비아, 2021 클라우드 산업대상 '장관상' 수상",https://library.gabia.com/contents/infrahosting/10347/
82,2022년 가비아 달력 세트 개봉기,https://library.gabia.com/contents/inside/10313/
83,내국신용장이 개설되었다면? 전자세금계산서 수정 발급 4,https://library.gabia.com/contents/groupware/10281/
84,"2022년 공휴일 총 67일, 직장인이라면 모든 공휴일에 쉴까?",https://library.gabia.com/contents/groupware/10258/
85,반품되거나 계약이 취소되었다면? 전자세금계산서 수정 발급 3,https://library.gabia.com/contents/groupware/10213/
86,"일과 삶을 분리하는 방법, 기업 메신저",https://library.gabia.com/contents/groupware/10188/
87,공급가액이 달라졌다면? 전자세금계산서 수정 발급 2,https://library.gabia.com/contents/groupware/10101/
88,"기업 메일이란? – 정의, 필요성, 도입 방법 알아보기",https://library.gabia.com/contents/groupware/10073/
89,실수로 작성일자를 잘못 적었다면? 전자세금계산서 수정 발급 1,https://library.gabia.com/contents/groupware/9997/
90,"협업 툴이란? - 정의, 장단점 알아보기",https://library.gabia.com/contents/groupware/9969/
91,전자세금계산서는 취소나 삭제가 불가능하다? 수정 발급 알아보기,https://library.gabia.com/contents/groupware/9843/
92,"그룹웨어란? - 정의, 필요성, 종류 알아보기",https://library.gabia.com/contents/groupware/9823/
93,전자세금계산서 발급과 전송은 다르다? 가산세 알아보기 2,https://library.gabia.com/contents/groupware/9675/
94,기업 담당자가 꼭 알아야 하는 '주 52시간'의 3가지 의미,https://library.gabia.com/contents/groupware/9590/
95,전자세금계산서를 늦게 발급했다면? 가산세 알아보기 1,https://library.gabia.com/contents/groupware/9521/
96,망하는 조직이 소통하는 방법,https://library.gabia.com/contents/groupware/9435/
97,기업이 개인용 메신저를 쓰지 않는 3가지 이유,https://library.gabia.com/contents/groupware/9395/
98,서버호스팅 vs 클라우드 서버 vs 베어메탈 서버 비교,https://library.gabia.com/contents/infrahosting/9335/
99,비즈니스에 최적화 된 서버 선택 방법,https://library.gabia.com/contents/infrahosting/9320/
100,베어메탈 서버(Bare Metal Server)란?,https://library.gabia.com/contents/infrahosting/9300/
101,2021년 그룹웨어 트렌드 전망,https://library.gabia.com/contents/groupware/9280/
102,2021년 주요 사이버 보안 위협 예측,https://library.gabia.com/contents/9266/
103,"파이썬(Python) 바로 알기 - 특징, 장점, 활용 사례",https://library.gabia.com/contents/9256/
104,BeautifulSoup와 requests로 웹 파싱해보기 - 파이썬 실습,https://library.gabia.com/contents/9239/
105,ERP 회계경영관리 알아보기,https://library.gabia.com/contents/9234/
106,ERP 도입 시 고려사항,https://library.gabia.com/contents/9231/
107,비즈니스에 ERP가 필요한 이유,https://library.gabia.com/contents/9228/
108,ERP란? ERP의 개념 및 도입 현황,https://library.gabia.com/contents/9225/
109,언택트 시대의 기업 메일이 중요한 이유,https://library.gabia.com/contents/groupware/9200/
110,포스트 코로나 시대의 클라우드,https://library.gabia.com/contents/infrahosting/9177/
111,클라우드 플랫폼과 마이크로서비스,https://library.gabia.com/contents/infrahosting/9154/
112,"퍼블릭 클라우드, 프라이빗 클라우드, 하이브리드 클라우드",https://library.gabia.com/contents/infrahosting/9147/
113,클라우드 마이그레이션 전략 알아보기,https://library.gabia.com/contents/infrahosting/7705/
114,클라우드 vs 웹호스팅 vs 서버호스팅 구분,https://library.gabia.com/contents/infrahosting/9118/
115,마이데이터란 무엇인가,https://library.gabia.com/contents/infrahosting/9142/
116,"클라우드에 저장된 개인정보, 어떤 문제가 있을까",https://library.gabia.com/contents/infrahosting/9136/
117,"클라우드 컴퓨팅의 종류, SaaS란?",https://library.gabia.com/contents/infrahosting/9123/
118,기업이 하이브리드 클라우드를 주목하는 이유,https://library.gabia.com/contents/infrahosting/7495/
119,"클라우드란 무엇인가 - 개념, 장점, 서비스 구분",https://library.gabia.com/contents/infrahosting/9114/
120,"클라우드 컴퓨팅의 종류, PaaS란?",https://library.gabia.com/contents/infrahosting/9105/
121,"클라우드 컴퓨팅의 종류, IaaS란?",https://library.gabia.com/contents/infrahosting/9097/
122,클라우드 DB 암호화 도입/구축 팁,https://library.gabia.com/contents/infrahosting/9071/
123,클라우드 스냅샷이란?,https://library.gabia.com/contents/infrahosting/9063/
124,클라우드 백업이란?,https://library.gabia.com/contents/infrahosting/9064/
125,[클라우드 이해] CDN 아키텍처,https://library.gabia.com/contents/infrahosting/9051/
126,클라우드 스토리지 종류(파일/블록/객체 스토리지),https://library.gabia.com/contents/infrahosting/9026/
127,SSH 명칭부터 접속까지 한 번에 이해하기 2,https://library.gabia.com/contents/infrahosting/9008/
128,SSH 명칭부터 접속까지 한 번에 이해하기 1,https://library.gabia.com/contents/infrahosting/9002/
129,클라우드 DB 암호화란?,https://library.gabia.com/contents/infrahosting/8977/
130,[클라우드 이해] CDN이란?,https://library.gabia.com/contents/infrahosting/8985/
131,[클라우드 이해] 스냅샷과 백업의 차이점,https://library.gabia.com/contents/infrahosting/8976/
132,클라우드 도입으로 전 세계 60만 회원과 소통합니다,https://library.gabia.com/contents/8946/
133,"AWS 전환, 중고차 플랫폼 유지 보수 리소스를 줄였습니다",https://library.gabia.com/contents/8936/
134,AWS Elastic File System 알아보기,https://library.gabia.com/contents/8928/
